,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
566,21,Apr 20 (1),False,CHC,"W,3-2",40,33,3,8,2,0,1,3,5,0,6,1,0,1,0,1,0,0,0.216,0.279,0.324,0.603,10,12,R,J.Assad(54)
567,22,Apr 20 (2),False,CHC,"L,3-5",35,35,3,8,1,0,1,3,0,0,9,0,0,0,1,1,0,0,0.216,0.277,0.325,0.602,5,12,L,S.Imanaga(57)
568,23,Apr 21,False,CHC,"W,6-3",39,37,6,11,2,0,1,6,2,0,9,0,0,0,0,1,0,0,0.22,0.279,0.33,0.61,6,10,R,K.Hendricks(39)
569,24,Apr 22,False,ATL,"L,0-3",33,32,0,8,1,0,0,0,0,0,7,1,0,0,0,2,0,0,0.221,0.279,0.328,0.608,6,9,R,B.Elder(62)
570,25,Apr 23,False,ATL,"L,0-5",29,29,0,3,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0.217,0.274,0.321,0.594,2,9,L,M.Fried(87)
571,26,Apr 24,False,ATL,"L,3-4",39,36,3,7,1,0,1,2,3,0,9,0,0,0,1,2,1,0,0.216,0.273,0.32,0.593,7,10,R,R.López(71)
572,27,Apr 26,True,WSN,"L,1-3",33,31,1,6,0,0,0,1,2,0,8,0,0,0,0,0,1,0,0.216,0.272,0.316,0.587,5,9,R,T.Williams(52)
573,28,Apr 27,True,WSN,"L,4-11",40,38,4,13,1,1,1,3,2,0,4,0,0,0,0,2,1,0,0.221,0.276,0.323,0.599,9,12,L,M.Parker(46)
574,29,Apr 28,True,WSN,"L,9-12",43,38,9,12,3,2,1,9,5,0,8,0,0,0,0,1,0,0,0.224,0.281,0.333,0.614,7,11,L,P.Corbin(26)
575,30,Apr 29,True,WSN,"L,2-7",31,31,2,4,1,0,1,2,0,0,5,0,0,0,0,0,0,0,0.221,0.276,0.331,0.607,2,11,R,J.Irvin(59)
